0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,01-0709-20-PIBS-R,1,A.G.S. DRUG TESTING AND DIAGNOSTIC LABORATORY,"149 NATIONAL ROAD, MANZON, SAN CARLOS CITY, PANGASINAN",SAN CARLOS CITY / PANGASINAN,9171173095,"FLORES, IKE MANUEL GABAO",marilou_ags@yahoo.com,marilou_ags@yahoo.com,4874260,,2,2,4,WITHOUT CONCERN,PASSED,Highly Satisfactory,SDTLPT-21-0-,1001,HS
1,01-1193-20-PFSS-R,1,ACULAB DRUG TESTING CENTER,"2ND FLR. NIXEM BLDG., ALEXANDER ST., POBLACION, URDANETA CITY, PANGASINAN",URDANETA CITY / PANGASINAN,9324094617,"VILLAR-ESPINO, MARIA VIVIAN A",aculabdrugtesting@yahoo.com,aculabdrugtesting@yahoo.com,4915793,,1,3,4,WITHOUT CONCERN,PASSED,Highly Satisfactory,SDTLPT-21-0-,1002,HS
1,01-1364-19-GIBS-R,1,AGOO MUNICIPAL HEALTH OFFICE CLINICAL LABORATORY,"STA. BARBARA, AGOO, LA UNION",AGOO/ LA UNION,9457257765,,,,4918076,,0,3,3,WITHOUT CONCERN,PASSED,Highly Satisfactory,SDTLPT-21-0-,1003,HS
1,01-0203-18-GIBS-R,1,ALAMINOS DRUG TESTING LABORATORY,"CITY HEALTH OFFICE, DON P. REINOSO STREET, POBLACION, ALAMINOS CITY, PANGASINAN",ALAMINOS CITY / PANGASINAN,09175527592/(075)654 1142,"CARAMBAS, MA. VICTORIA ORFINADA",judithcatbay@yahoo.com,alaminosdtl@yahoo.com,4884236,,2,5,7,WITHOUT CONCERN,PASSED,Acceptable,SDTLPT-21-0-,1004,A
1,01-0674-20-PIBS-R,1,ALLIANCE DIAGNOSTIC CENTER,"#1 PANGASINAN HOPE LUMBER BLDG., 568 RIZAL ST., POBLACION, MANGALDAN, PANGASINAN",MANGALDAN/PANGASINAN,09420203366/(075)600-8401,"AQUINO, SHELDON STEVEN CAPDA",saquino42@yahoo.com,alliancediagnosticclinic@gmail.com,4884937,,1,4,5,WITHOUT CONCERN,PASSED,Highly Satisfactory,SDTLPT-21-0-,1005,HS
1,01-1613-19-GIBS-R,1,CANDON CITY HEALTH OFFICE SDTL,"NATIONAL HIGHWAY, CALAOAN, CANDON CITY, ILOCOS SUR",CANDON/ILOCOS SUR,9778455335,"VILLANUEVA, JOY PALINO",,candoncholab@yahoo.com,4910737,,1,4,5,WITHOUT CONCERN,PASSED,Highly Satisfactory,SDTLPT-21-0-,1006,HS
1,01-1163-20-PIBS-R,1,CHRIST-BEARER CLINICAL LABORATORY,"BRGY. CABATLING (IN FRONT OF MMH), MALASIQUI, PANGASINAN",MALASIQUI/PANGASINAN,9230909635,"FLORES, IKE MANUEL GABAO",ikeman619ommc@yahoo.com,christbearerclinicallaboratory@gmail.com,4910736,,1,5,6,WITHOUT CONCERN,PASSED,Acceptable,SDTLPT-21-0-,1007,A
1,01-0194-20-PIBS-R,1,"DAGUPAN DOCTORS VILLAFLOR MEMORIAL HOSPITAL, INC.","G/F BMV BUILDING, ALEXANDER STREET, POBLACION, URDANETA CITY, PANGASINAN",URDANETA CITY / PANGASINAN,09236583417/(075)656-0242,"ENRILE, MA. THERESA TOSINO",,rhea.maala@yahoo.com,4900875,,3,2,5,WITHOUT CONCERN,PASSED,Highly Satisfactory,SDTLPT-21-0-,1008,HS
1,01-0195-20-GIBS-R,1,DOH- DRUG TREATMENT AND REHABILITATION CENTER DAGUPAN DRUG TESTING LABORATORY,"SITIO PALATONG, BONUAN BINLOC, DAGUPAN CITY, PANGASINAN ",DAGUPAN CITY / PANGASINAN,09773363391/(075)653-9876,"ASUNCION,BABY LYNNE, CORPUZ MD, FPSP",laboratorydohtrc@gmail.com,laboratorydohtrc@gmail.com,4880807,,1,5,6,WITHOUT CONCERN,PASSED,Acceptable,SDTLPT-21-0-,1009,A
1,01-0413-20-PFSS-R,1,E-LI DRUG TESTING CENTER,"STI BLDG, AGUILA ROAD, SEVILLA, SAN FERNANDO CITY, LA UNION",SAN FERNANDO CITY/ LA UNION,09999785903/(072)6072960,"FERNANDEZ, FLOYD E.",floydfernandez@yahoo.com,emmaruthm@yahoo.com,4886712,,7,0,7,WITHOUT CONCERN,PASSED,Acceptable,SDTLPT-21-0-,1010,A
