region_id,la,region,acc,name,address,contact,email,or,rate,perf,no
14,WMTL-PT-21-C1-13-0001,13,13-001-1921-LW-2,A1 WATER TESTING LABORATORY INC.,"28 Dr. Sixto Antonio Avenue Brgy. Kapasigan, Pasig City, Metro Manila",0918-9250620 / 8935-6623 / 8994-4855,-,4846170,1,Highly Satisfactory,WMTLPT-21-130001 
14,WMTL-PT-21-C1-13-0002,13,-,"ACA WATER ANALYSIS AND LABORATORY SERVICES, INC.",#46 Scout Chuatoco Quezon City,0927-3390210,s,4918605,0,Excellent,WMTLPT-21-130002 
14,WMTL-PT-21-C1-13-0003,13,13-0013-1920-LW-1,AERONICS INCORPORATED,"19 Ashley St. North Fairview Park Subd. North fairview, Quezon City",0920-9548792 / (8) 935-4861 / (8) 930-40-06,aeronicsmain@gmail.com,4886752,0,Excellent,WMTLPT-21-130003 
14,WMTL-PT-21-C1-13-0004,13,-,ANALYTIKA LABORATORY,"Unit 104, Le Gran Building, 45 Eisenhower Street, Greenhills, San Juan, Metro Manila",0961-5012936,raymondjoseph.amusao@gmail.com,4923179,0,Excellent,WMTLPT-21-130004 
14,WMTL-PT-21-C1-13-0005,13,13-0017-1920-LW-2,BOYER ENVIRONMENTAL WATER TESTING LABORATORY,"2nd floor JP Tuason Bldg. cor San Vicente, Sta. Lucia St. San Antonio Valley I, Parañaque City, Manila",0912-216-1215 / 799-8451,bewtl.2014@gmail.com,4878368,1,Highly Satisfactory,WMTLPT-21-130005 
14,WMTL-PT-21-C1-13-0006,13,13-0003-1920-LW-1,CITY GOVERNMENT OF MAKATI-WATER BACTERIOLOGICAL LABORATORY,"Building 1, 7th Floor, J.P. Rizal, Makati City",8870-1608,health@makati.gov.ph,4886214,0,Excellent,WMTLPT-21-130006 
14,WMTL-PT-21-C1-13-0007,13,13-0007-2022-LW-2,CJK AIR & WATER TESTING LABORATORY,"99-C Judge juan Luna San Antonio, Quezon City",0905-4056030 / 8373-4996,airwaterlab07@yahoo.com.ph,4892166,1,Highly Satisfactory,WMTLPT-21-130007 
14,WMTL-PT-21-C1-13-0008,13,13-011-1820-LW-1,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL AND SANITARIUM,"St. Joseph Avenue, Tala, Caloocan",0917-5026144 / 781-740*,djnrmh.dplm@gmail.com,4882957,1,Highly Satisfactory,WMTLPT-21-130008 
14,WMTL-PT-21-C1-13-0010,13,13-0010-1920-LW-2,"ELARSI, INCORPORATED","Unit 201-203 & 406 Rizalina Annex, Bldg. 1677, Quezon Avenue, Quezon City",0977-8139268 / 8927-7715,info@elarsi.com,4902668,0,Excellent,WMTLPT-21-130009 
14,WMTL-PT-21-C1-13-0011,13,13-0003-18-LW-2,EMINENT WATER LABORATORY CENTER (MAIN BRANCH),"347-F A. Bonifacio Ave., Brgy. San Jose, Quezon City",0933-1658046 / 0922-8675546 / 8365-7811,jose_lim@eminentwater.com,4870447,0,Excellent,WMTLPT-21-130010 
14,WMTL-PT-21-C1-13-0012,13,13-004-1920-LW-2,ENVIRONMENTAL - HEALTH LABORATORY SERVICES COOPERATIVE,"50 Holy Spirit Drive, Quezon City",86913966 / 0917-8324760,ehlsc1999@yahoo.com,4883090,0,Excellent,WMTLPT-21-130011 
14,WMTL-PT-21-C1-13-0013,13,13-005-1920-LW-2,ENVIRONMENTAL - HEALTH LABORATORY SERVICES COOPERATIVE (TAGUIG),"490 Gen. Luna St. Brgy. Tuktukan, Taguig, Metro Manila",0917-8324760 / 0917-3118643 / 02-89202300,hr.ehlscooperative@gmail.com,4919079,2,Acceptable,WMTLPT-21-130012 
14,WMTL-PT-21-C1-13-0014,13,13-0012-1920-LW-2,F.A.S.T LABORATORIES - CUBAO,"#62 20th Avenue Cubao, Quezon City",0917-5626286 / 8913-8848 / 8913-0250,cubao.fastlaboratories@gmail.com,4881360,0,Excellent,WMTLPT-21-130013 
14,WMTL-PT-21-C1-13-0015,13,13-0005-18-LW-2,GLOBAL ELIXIR WATER LABORATORY CENTER/ AQUA LAB CENTER - MAYON,"Unit 5 & 10 DD1 Bldg. Del Monte Ave. cor Mayon St. Brgy. Maharlika, Quezon City",0908-8741412 / (02) 83540059 / (02) 87424745,alcmayon@yahoo.com,4822375,0,Excellent,WMTLPT-21-130014 
14,WMTL-PT-21-C1-13-0016,13,13-0006-1920-LW-2,GREYSTONE BIOCHEM LABORATORIES INC.,"148 iv Domingo St. Barangay Kaunlaran, Cubao, Quezon City",0905-1681108 / (02) 8727-6474 / (02) 8573-9237*,info@greystonebiochem.com,4918849,0,Excellent,WMTLPT-21-130015 
14,WMTL-PT-21-C1-13-0017,13,13-0006-2022-LW-2,HI-ADVANCE PHILIPPINES INCORPORATED,"Unit 5, 3F Maga Center San Antonio St. Paseo De Magallanes, Makati City",0939-9030679 / 0956-8055517 / 7294327 / 8548365,philippines@hiadvance.com,4890902,0,Excellent,WMTLPT-21-130016 
14,WMTL-PT-21-C1-13-0018,13,13-0016-1920-LW-2,HI-PRECISION DIAGNOSTICS,"440-442 W. Long Bldg. Del Monte Ave. cor Biak na Bato, Quezon City",863-9999 loc 123,jane@hi-precision.com.ph,4916836,0,Excellent,WMTLPT-21-130017 
14,WMTL-PT-21-C1-13-0019,13,13-0002-1920-LW-2,"HOPE LOVE FAITH MEDICAL CLINIC AND LABORATORY, INC.",35-C William Bldg. Quezon Avenue cor Cordillera St. Quezon City,0918-9250620 / 0922-8528899 / 711-2455 / 749-9589,hlf_laboratory@yahoo.com,4726880,1,Highly Satisfactory,WMTLPT-21-130018 
14,WMTL-PT-21-C1-13-0020,13,13-011-1921-LW-2,HYDROLAB COMPANY,"Unit 107-108 G/F MNRI Bldg. Mindanao Ave., Brgy. Talipapa, Quezon City",0922-8931450 / 0926-6728660 / (02) 8404-1065 / (02) 8709-8680,hydrolabcompany@gmail.com,4892360,2,Acceptable,WMTLPT-21-130019 
14,WMTL-PT-21-C1-13-0022,13,13-0014-1920-LW-2,"LABNET DIAGNOSTIC AND MEDICAL CLINIC AND WATER TESTING LABORATORY, INC.","138 kalayaan Ave., Brgy. Central, Quezon City",0924-4296337 / 8-283-2341,labnetdiagnostic@gmail.com,4915076,2,Acceptable,WMTLPT-21-130020 
14,WMTL-PT-21-C1-13-0023,13,-,"MACH UNION WATER LABORATORY, INC.","314 Anfra Bldg. FMC-LTO Compound, Alabang - Zapote Road, Talon 1, Las Piñas City",0917-8439306 / (02) 8553-8381 / (02) 8553-8382,glenn@machunion.com,4873282,0,Excellent,WMTLPT-21-130021 
14,WMTL-PT-21-C1-13-0024,13,13-0006-18-LW-2,"MACH UNION WATER LABORATORY, INC.","335 Mach Union Bldg. Alabang - Zapote Road, Talon 3, Las Piñas City",0917-8439306 / (02) 8553-8381 / (02) 8553-8382,glenn@machunion.com,4873283,0,Excellent,WMTLPT-21-130022 
14,WMTL-PT-21-C1-13-0025,13,-,MANILA WATER LABORATORY SERVICES,"489 Katipunan Road, MWSS Compound, Balara, Quezon City",0917-5080439 / 9175900 loc 1603,morena.beronio@manilawater.com,4899787,0,Excellent,WMTLPT-21-130023 
14,WMTL-PT-21-C1-13-0026,13,13-0009-18-LW-2,MAYNILAD CENTRAL LABORATORY,"La Mesa Treatment Plant I Greater Lagro Novaliches, Quezon City",697-3719,christine.bagsik@mayniladwater.com.ph,4846977,0,Excellent,WMTLPT-21-130024 
14,WMTL-PT-21-C1-13-0027,13,13-0136-20-CL-2,MD TECH MEDICAL AND DIAGNOSTIC CLINIC,"142-B Howmart Road Brgy. Baesa, Quezon City",0930-4059824,mdtech.diagnostic@yahoo.com,4918955,2,Acceptable,WMTLPT-21-130025 
14,WMTL-PT-21-C1-13-0028,13,13-011-18-LW-2,MER CHEMICAL LABORATORY AND SERVICES INC.,64 Major Dizon Street Industrial Valley Complex Marikina City,0922-8990248 / 8681-8459,merchemical@yahoo.com.ph,4856470,0,Excellent,WMTLPT-21-130026 
