region_id,la,region,acc,name,address,contact,email,or,rate,perf,no,,perf_model
1,,I,01-0001-2224-LW-I,DAGUPAN CITY WATER DISTRICT LABORATORY,"New Administrative Bldg. Tambac District, Dagupan City, Pangasinan",09366772156 /09178058893 (075) 653-2588,dcwdlaboratory@yahoo.com,5781940,1,HIGHLY SATISFACTORY,WMTL-PT-23-01001,,HS
1,,I,01-0002-2123-LW-I,"DEPARTMENT OF SCIENCE AND TECHNOLOGY REGIONAL OFFICE 1, REGIONAL STANDARDS AND TESTING LABORATORY","DOST Region I Bldg., DMMSU-MLU Campus, P.O. Box 117, San Fernando, La Union",09952757513/ (072) 888-3399,rstl@region1.dost.gov.ph,5160041,0,EXCELLENT,WMTL-PT-23-01002,,E
1,,I,01-001-2123-LW-2,ENVIRONMENTAL HEALTH LABORATORY  SERVICES COOPERATIVE,"310 T&S Building, San Vicente, Urdaneta City, Pangasinan",09338257579 / 075-632-8100,pangasinanenvironmentalhealth@yahoo.com.ph,5189157,0,EXCELLENT,WMTL-PT-23-01003,,E
1,,I,01-0002-2325-LW-1,ILOCOS NORTE WATER DISTRICT-WATER TESTING LABORATORY,"Andres Bonifacio St., Laoag",09985903569/ 077 7720985,lab.primewaterilocosnorte@gmail.com,5235555,0,EXCELLENT,WMTL-PT-23-01004,,E
1,,I,93,ILOCOS TRAINING AND REGIONAL CENTER,"MCARTHUR HIWAY PARIAN, SAN FERNANDO LA UNION",(072) 607 6418/6422 loc 158,itrmc.laboratatory@gmail.com,5217181,0,EXCELLENT,WMTL-PT-23-01005,,E
6,,,01-006-1820-LW-2,"PANGASINAN SAFE WATER LABORATORY, INC.","375 DMM, Village, Brgy. Tobor, Malasiqui, Pangasinan",9070505132,pangasinansafewaterlabinc@gmail.com,5182143,0,EXCELLENT,WMTL-PT-23-01006,,E
1,,I,01-0001-2325-LW-1,PROVINCIAL WATER BACTERIOLOGICAL LABORATORY,"SOLIS ST. LINGAYEN DISTRICT HOSPITAL COMPD., LINGAYEN, PANGASINAN",09957568832 / 0755422295,will_deguzman@yahoo.com,5193454,1,HIGHLY SATISFACTORY,WMTL-PT-23-01007,,HS
1,,I,01-0004-23-H3-1,REGION I MEDICAL CENTER,"Arellano St., Dagupan City","09065705277/09171377693
(075) 515-8916 Loc. 145",region1mclab@gmail.com,5206200,1,HIGHLY SATISFACTORY,WMTL-PT-23-01008,,HS
1,,I,01-0002-2224-LW-2,SANDUGO MULTI-PURPOSE COOPERATIVE,"40 NATIONAL HIGHWAY, BUYON BACARRA ",09499043389 / 637-76760691,lab@crystaldewddw.com,5157482,1,HIGHLY SATISFACTORY,WMTL-PT-23-01009,,HS
1,,I,01-0003-2123-LW-2,TAGUDIN MEDICAL DIAGNOSTIC CENTER,"LAS-UD, TAGUDIN, ILOCOS SUR",9262306713,tagudinMDC@gmail.com,5237685,0,EXCELLENT,WMTL-PT-23-01010,,E
15,,CAR,14-0001-2123-LW-1,BAUKO RURAL HEALTH UNIT WATER LABORATORY,"NANG-A POBLACION, BAUKO",9771733088,baukorhu@gmail.com,5243624,0,EXCELLENT,WMTL-PT-23-14011,,E
15,,CAR,14-0002-2224-LW-1,BENGUET PROVINCIAL WATER ANALYSIS LABORATORY,"BeGH Compound, Km 5, La Trinidad, Benguet",09124664914 / 0744225657 ,phobenguet@yahoo.com,5189141,0,EXCELLENT,WMTL-PT-23-14012,,E
