region_id,la,region,acc,name,address,contact,email,lab_email,hol,or,rate,perf,no,,perf_model
15,BAGUIO CITY,14,DOH023486,BAGUIO WATER DISTRICT,"003 UTILITY ROAD, BRGY MARCOVILLE, BAGUIO CITY, BENGUET",09978825352 / 09602370356 / 09272814136,baguiowaterdistrictlaboratory@gmail.com,baguiowaterdistrictlaboratory@gmail.com,"BASILIO C. MUNAR, JR.",5591242,0,EXCELLENT,WMTL-PT-25-14001,,E
15,BAUKO,14,14-0001-2426-LW-1,BAUKO HEALTH UNIT WATER LABORATORY,"NANG-A, BAUKO, MOUNTAIN PROVINCE ",9771733088,baukorhu@gmail.com,baukorhu@gmail.com,SAMUEL M. MASIDONG,5600270,1,HIGHLY SATISFACTORY,WMTL-PT-25-14002,,HS
15,LA TRINIDAD,14,14-001-2527-LW-1,BENGUET PROVINCIAL WATER ANALYSIS LABORATORY,"BENGUET GENERAL HOSPITAL COMPOUND, KM5, LA TRINIDAD, BENGUET",09198118976 / 09124664914 / 074-422-2895,phobenguet@benguet.gov.ph,phobenguet@benguet.gov.ph,VIRGINIA V. DE JOYA,5565700,0,EXCELLENT,WMTL-PT-25-14003,,E
15,BAGUIO CITY,14,DOH052024,DOH-CORDILLERA CENTER FOR HEALTH DEVELOPMENT WATER TESTING LABORATORY,"KENNON ROAD, BGHMC COMPOUND, BAGUIO CITY, BENGUET",09603749059 / 09473212108,dohchdcar.watertestinglab@gmail.com,dohchdcar.watertestinglab@gmail.com,ROY F. FIACHING,5609926,0,EXCELLENT,WMTL-PT-25-14004,,E
15,LA TRINIDAD,14,14-0001-2325-LW-1,DOST-CAR REGIONAL STANDARDS TESTING LABORATORY,"KM 6, LA TRINIDAD, BENGUET",9664692205,rstlcar@gmail.com,rstlcar@gmail.com,PEPITA S. PICPICAN,5600269,0,EXCELLENT,WMTL-PT-25-14005,,E
15,BAGUIO CITY,14,14-0025-26-CL-1,HEALTH SERVICES OFFICE  -PUBLIC HEALTH LABORATORY,"TEODORA ALONZO, BAGUIO CITY, BENGUET",09998060853 / (074) 442-6018,mycoleprae00@gmail.com,mycoleprae00@gmail.com,KHECY M. COLAS,5600268,0,EXCELLENT,WMTL-PT-25-14006,,E
15,TABUK CITY,14,DOH051156,TABUK CITY HEALTH SERVICES OFFICE - WATER TESTING LABORATORY,"CITY HALL COMPOUND, DAGUPAN CENTRO, TABUK CITY, KALINGA",09569210267 / 09361913802,aivanasalibad@gmail.com,aivanasalibad@gmail.com,JUANITA T. LACUESTA,5609919,1,HIGHLY SATISFACTORY,WMTL-PT-25-14007,,HS
15,DAGUPAN CITY,1,01-0001-2224-LW-1,DAGUPAN CITY WATER DISTRICT LABORATORY ,"NEW ADMINISTRATIVE BLDG. TAMBAC DIST, DAGUPAN CITY, PANGASINAN",09178058893 / (075) 653-2588,dcwdlaboratory@yahoo.com,dcwdlaboratory@yahoo.com,PRINCESS LEE U. CURAMMENG,5480829,1,ACCEPTABLE,WMTL-PT-25-01008,,A
15,SAN FERNANDO,1,01-002-2426-LW-1,DOST - REGION 1 - REGIONAL STANDARS AND TESTING LABORATORY,"DOST REGION 1 BLDG, DMMSU - MLUC COMPOUND, SAN FERNANDO, LA UNION ",09952757513 / (072) 888-3399 / 09465909426,rstl@region1.dost.gov.ph,rstl@region1.dost.gov.ph,LENA C. ROSARIO,5528688,0,HIGHLY SATISFACTORY,WMTL-PT-25-01009,,HS
15,URDANETA CITY,1,01-0001-2123-LW-2,ENVIRONMENTAL HEALTH LABORATORY SERVICES COOPERATIVE - URDANETA,"310 SAN VICENTE, URDANETA CITY, PANGASINAN",09338527579 / 632-8100 / 09771891996,pangasinanenvironmentalhealth@yahoo.com.ph,pangasinanenvironmentalhealth@yahoo.com.ph,CATALINA F. RUIZ,5465505,1,HIGHLY SATISFACTORY,WMTL-PT-25-01010,,HS
15,LAOAG CITY,1,01-0002-2325-LW-1,ILOCOS NORTE WATER DISTRICT - WATER TESTING LABORATORY,"ANDRES BONIFACIO ST., LAOAG CITY, ILOCOS NORTE",09266835585 / 09985903569,lab.primewaterilocosnorte@gmail.com,lab.primewaterilocosnorte@gmail.com,JENY A. BARIO,5607673,1,HIGHLY SATISFACTORY,WMTL-PT-25-01011,,HS
